year,team,slot,round,pick,player,pos,manager,key,ecr,dev
2024,Jamal (you),3,10,98,C.J. Stroud,QB,Jamal (you),cj stroud,52.99,45.01
2024,Jamal (you),3,11,103,Mike Williams,WR,Jamal (you),mike williams,141.2,-38.19999999999999
2024,Jamal (you),3,12,118,Xavier Legette,WR,Jamal (you),xavier legette,190.65,-72.65
2024,Jamal (you),3,13,123,Cleveland Browns,DST,Jamal (you),cleveland browns,172.35,-49.349999999999994
2024,Jamal (you),3,14,138,Dak Prescott,QB,Jamal (you),dak prescott,63.5,74.5
2024,Jamal (you),3,15,143,Chicago Bears,DST,Jamal (you),chicago bears,210.7,-67.69999999999999
2024,David,4,1,4,Breece Hall,RB,Daoud,breece hall,6.28,-2.2800000000000002
2024,David,4,2,17,Puka Nacua,WR,Daoud,puka nacua,14.9,2.0999999999999996
2024,David,4,3,24,Josh Jacobs,RB,Daoud,josh jacobs,48.84,-24.840000000000003
2024,David,4,4,37,Jaylen Waddle,WR,Daoud,jaylen waddle,26.94,10.059999999999999
2024,David,4,5,44,Trey McBride,TE,Daoud,trey mcbride,50.14,-6.140000000000001
2024,David,4,6,57,Terry McLaurin,WR,Daoud,terry mclaurin,55.16,1.8400000000000034
2024,David,4,7,64,Lamar Jackson,QB,Daoud,lamar jackson,32.22,31.78
2024,David,4,8,77,Jayden Reed,WR,Daoud,jayden reed,82.0,-5.0
2024,David,4,9,84,Ladd McConkey,WR,Daoud,ladd mcconkey,100.36,-16.36
2024,David,4,10,97,Zach Charbonnet,RB,Daoud,zach charbonnet,132.59,-35.59
2024,David,4,11,104,Blake Corum,RB,Daoud,blake corum,142.74,-38.74000000000001
2024,David,4,12,117,Jakobi Meyers,WR,Daoud,jakobi meyers,115.99,1.0100000000000051
2024,David,4,13,124,Josh Palmer,WR,Daoud,josh palmer,,
2024,David,4,14,137,Ray Davis,RB,Daoud,ray davis,173.83,-36.83000000000001
2024,David,4,15,144,Atlanta Falcons,DST,Daoud,atlanta falcons,260.38,-116.38
2024,Kdouh,5,1,5,Bijan Robinson,RB,Kdouh,bijan robinson,6.75,-1.75
2024,Kdouh,5,2,16,Cooper Kupp,WR,Kdouh,cooper kupp,28.07,-12.07
2024,Kdouh,5,3,25,Alvin Kamara,RB,Kdouh,alvin kamara,45.03,-20.03
2024,Kdouh,5,4,36,Mike Evans,WR,Kdouh,mike evans,27.85,8.149999999999999
2024,Kdouh,5,5,45,Diontae Johnson,WR,Kdouh,diontae johnson,66.87,-21.870000000000005
2024,Kdouh,5,6,56,Amari Cooper,WR,Kdouh,amari cooper,43.3,12.700000000000003
2024,Kdouh,5,7,65,Jaxon Smith-Njigba,WR,Kdouh,jaxon smithnjigba,85.79,-20.790000000000006
2024,Kdouh,5,8,76,Evan Engram,TE,Kdouh,evan engram,79.79,-3.7900000000000063
2024,Kdouh,5,9,85,Kyler Murray,QB,Kdouh,kyler murray,56.92,28.08
2024,Kdouh,5,10,96,Jerome Ford,RB,Kdouh,jerome ford,122.34,-26.340000000000003
2024,Kdouh,5,11,105,Jonathon Brooks,RB,Kdouh,jonathon brooks,112.71,-7.709999999999994
2024,Kdouh,5,12,116,Adonai Mitchell,WR,Kdouh,adonai mitchell,173.09,-57.09
2024,Kdouh,5,13,125,Curtis Samuel,WR,Kdouh,curtis samuel,128.36,-3.3600000000000136
2024,Kdouh,5,14,136,New Orleans Saints,DST,Kdouh,new orleans saints,200.74,-64.74000000000001
2024,Kdouh,5,15,145,Pittsburgh Steelers,DST,Kdouh,pittsburgh steelers,184.25,-39.25
2024,Kass,6,1,6,Amon-Ra St. Brown,WR,Kass,amonra st brown,4.99,1.0099999999999998
2024,Kass,6,2,15,Derrick Henry,RB,Kass,derrick henry,37.87,-22.869999999999997
2024,Kass,6,3,26,Davante Adams,WR,Kass,davante adams,17.3,8.7
2024,Kass,6,4,35,D'Andre Swift,RB,Kass,dandre swift,76.64,-41.64
2024,Kass,6,5,46,Aaron Jones,RB,Kass,aaron jones,66.29,-20.290000000000006
2024,Kass,6,6,55,Chris Godwin,WR,Kass,chris godwin,62.2,-7.200000000000003
2024,Kass,6,7,66,Christian Watson,WR,Kass,christian watson,103.75,-37.75
2024,Kass,6,8,75,Christian Kirk,WR,Kass,christian kirk,55.46,19.54
2024,Kass,6,9,86,Austin Ekeler,RB,Kass,austin ekeler,107.65,-21.650000000000006
2024,Kass,6,10,95,Jordan Addison,WR,Kass,jordan addison,101.25,-6.25
2024,Kass,6,11,106,David Njoku,TE,Kass,david njoku,96.64,9.36
2024,Kass,6,12,115,Joe Burrow,QB,Kass,joe burrow,59.92,55.08
2024,Kass,6,13,126,Tyler Allgeier,RB,Kass,tyler allgeier,155.5,-29.5
2024,Kass,6,14,135,Khalil Herbert,RB,Kass,khalil herbert,175.08,-40.08000000000001
2024,Kass,6,15,146,Seattle Seahawks,DST,Kass,seattle seahawks,263.45,-117.44999999999999
2024,Ach,7,1,7,Ja'Marr Chase,WR,Aoc,jamarr chase,4.53,2.4699999999999998
2024,Ach,7,2,14,A.J. Brown,WR,Aoc,aj brown,9.05,4.949999999999999
2024,Ach,7,3,27,Travis Kelce,TE,Aoc,travis kelce,31.89,-4.890000000000001
2024,Ach,7,4,34,Joe Mixon,RB,Aoc,joe mixon,51.92,-17.92
2024,Ach,7,5,47,Malik Nabers,WR,Aoc,malik nabers,37.84,9.159999999999997
2024,Ach,7,6,54,Jalen Hurts,QB,Aoc,jalen hurts,27.38,26.62
2024,Ach,7,7,67,Zamir White,RB,Aoc,zamir white,80.19,-13.189999999999998
2024,Ach,7,8,74,Jaylen Warren,RB,Aoc,jaylen warren,88.95,-14.950000000000003
2024,Ach,7,9,87,Najee Harris,RB,Aoc,najee harris,76.6,10.400000000000006
2024,Ach,7,10,94,DeAndre Hopkins,WR,Aoc,deandre hopkins,92.19,1.8100000000000023
2024,Ach,7,11,107,Jerry Jeudy,WR,Aoc,jerry jeudy,146.49,-39.49000000000001
2024,Ach,7,12,114,Tony Pollard,RB,Aoc,tony pollard,87.54,26.459999999999994
2024,Ach,7,13,127,Romeo Doubs,WR,Aoc,romeo doubs,130.55,-3.5500000000000114
2024,Ach,7,14,134,Dallas Cowboys,DST,Aoc,dallas cowboys,169.87,-35.870000000000005
2024,Ach,7,15,147,Jayden Daniels,QB,Aoc,jayden daniels,78.61,68.39
2024,Petty,8,1,8,Justin Jefferson,WR,Billy,justin jefferson,6.72,1.2800000000000002
2024,Petty,8,2,13,Jonathan Taylor,RB,Billy,jonathan taylor,14.72,-1.7200000000000006
2024,Petty,8,3,28,James Cook,RB,Billy,james cook,47.25,-19.25
2024,Petty,8,4,33,DK Metcalf,WR,Billy,dk metcalf,35.81,-2.8100000000000023
2024,Petty,8,5,48,Rachaad White,RB,Billy,rachaad white,42.87,5.130000000000003
2024,Petty,8,6,53,Mark Andrews,TE,Billy,mark andrews,58.93,-5.93
2024,Petty,8,7,68,Calvin Ridley,WR,Billy,calvin ridley,70.13,-2.1299999999999955
2024,Petty,8,8,73,Rhamondre Stevenson,RB,Billy,rhamondre stevenson,66.57,6.430000000000007
2024,Petty,8,9,88,Anthony Richardson,QB,Billy,anthony richardson,49.56,38.44
2024,Petty,8,10,93,Zack Moss,RB,Billy,zack moss,110.07,-17.069999999999993
2024,Petty,8,11,108,Brock Bowers,TE,Billy,brock bowers,104.15,3.8499999999999943
2024,Petty,8,12,113,Devin Singletary,RB,Billy,devin singletary,96.5,16.5
2024,Petty,8,13,128,Baltimore Ravens,DST,Billy,baltimore ravens,156.08,-28.080000000000013
2024,Petty,8,14,133,Rashid Shaheed,WR,Billy,rashid shaheed,135.36,-2.3600000000000136
2024,Petty,8,15,148,Dallas Goedert,TE,Billy,dallas goedert,104.41,43.59
2024,Betto,9,1,9,Jahmyr Gibbs,RB,Betto,jahmyr gibbs,13.65,-4.65
2024,Betto,9,2,12,Garrett Wilson,WR,Betto,garrett wilson,10.23,1.7699999999999996
2024,Betto,9,3,29,Nico Collins,WR,Betto,nico collins,28.86,0.14000000000000057
2024,Betto,9,4,32,DeVonta Smith,WR,Betto,devonta smith,35.4,-3.3999999999999986
2024,Betto,9,5,49,Patrick Mahomes,QB,Betto,patrick mahomes,32.03,16.97
2024,Betto,9,6,52,Zay Flowers,WR,Betto,zay flowers,51.44,0.5600000000000023
2024,Betto,9,7,69,Dalton Kincaid,TE,Betto,dalton kincaid,67.19,1.8100000000000023
2024,Betto,9,8,72,Brian Robinson,RB,Betto,brian robinson,93.66,-21.659999999999997
2024,Betto,9,9,89,Xavier Worthy,WR,Betto,xavier worthy,95.4,-6.400000000000006
2024,Betto,9,10,92,Gus Edwards,RB,Betto,gus edwards,124.36,-32.36
2024,Betto,9,11,109,Darnell Mooney,WR,Betto,darnell mooney,179.85,-70.85
2024,Betto,9,12,112,New York Jets,DST,Betto,new york jets,165.42,-53.41999999999999
2024,Betto,9,13,129,Ezekiel Elliott,RB,Betto,ezekiel elliott,126.08,2.9200000000000017
2024,Betto,9,14,132,Jordan Love,QB,Betto,jordan love,68.11,63.89
2024,Betto,9,15,149,Ravens,DST,Betto,ravens,,
2024,Ish,10,1,10,Saquon Barkley,RB,Ish,saquon barkley,17.01,-7.010000000000002
2024,Ish,10,2,11,Marvin Harrison,WR,Ish,marvin harrison,16.66,-5.66
2024,Ish,10,3,30,Kenneth Walker,RB,Ish,kenneth walker,55.45,-25.450000000000003
2024,Ish,10,4,31,DJ Moore,WR,Ish,dj moore,34.79,-3.789999999999999
2024,Ish,10,5,50,David Montgomery,RB,Ish,david montgomery,71.93,-21.930000000000007
2024,Ish,10,6,51,Tee Higgins,WR,Ish,tee higgins,51.59,-0.5900000000000034
2024,Ish,10,7,70,Courtland Sutton,WR,Ish,courtland sutton,98.17,-28.17
2024,Ish,10,8,71,Kyle Pitts,TE,Ish,kyle pitts,83.07,-12.069999999999993
2024,Ish,10,9,90,Brian Thomas,WR,Ish,brian thomas,109.64,-19.64
2024,Ish,10,10,91,Nick Chubb,RB,Ish,nick chubb,127.53,-36.53
2024,Ish,10,11,110,Caleb Williams,QB,Ish,caleb williams,88.31,21.689999999999998
2024,Ish,10,12,111,Tyjae Spears,RB,Ish,tyjae spears,96.74,14.260000000000005
2024,Ish,10,13,130,Trey Benson,RB,Ish,trey benson,141.73,-11.72999999999999
2024,Ish,10,14,131,Braelon Allen,RB,Ish,braelon allen,207.92,-76.91999999999999
2024,Ish,10,15,150,Philadelphia Eagles,DST,Ish,philadelphia eagles,193.37,-43.370000000000005
2025,Ach,1,1,1,Ja'Marr Chase,WR,Aoc,jamarr chase,1.13,-0.1299999999999999
2025,Ach,1,2,20,Jonathan Taylor,RB,Aoc,jonathan taylor,32.03,-12.030000000000001
2025,Ach,1,3,21,Tyreek Hill,WR,Aoc,tyreek hill,25.09,-4.09
2025,Ach,1,4,40,Joe Burrow,QB,Aoc,joe burrow,46.1,-6.100000000000001
2025,Ach,1,5,41,DK Metcalf,WR,Aoc,dk metcalf,45.7,-4.700000000000003
2025,Ach,1,6,60,Zay Flowers,WR,Aoc,zay flowers,53.22,6.780000000000001
2025,Ach,1,7,61,Sam LaPorta,TE,Aoc,sam laporta,70.43,-9.430000000000007
2025,Ach,1,8,80,Jaylen Warren,RB,Aoc,jaylen warren,89.63,-9.629999999999995
2025,Ach,1,9,81,Jerry Jeudy,WR,Aoc,jerry jeudy,69.76,11.239999999999995
2025,Ach,1,10,100,Chris Godwin,WR,Aoc,chris godwin,79.51,20.489999999999995
2025,Ach,1,11,101,Cam Skattebo,RB,Aoc,cam skattebo,124.03,-23.03
2025,Ach,1,12,120,Najee Harris,RB,Aoc,najee harris,122.06,-2.0600000000000023
2025,Ach,1,13,121,Jerome Ford,RB,Aoc,jerome ford,148.35,-27.349999999999994
2025,Ach,1,14,140,Houston Texans,DST,Aoc,houston texans,186.33,-46.33000000000001
2025,Ach,1,15,141,Marquise Brown,WR,Aoc,marquise brown,153.5,-12.5
2025,Abu Ali,2,1,2,Saquon Barkley,RB,Hazime,saquon barkley,9.72,-7.720000000000001
2025,Abu Ali,2,2,19,Bucky Irving,RB,Hazime,bucky irving,30.04,-11.04
2025,Abu Ali,2,3,22,Tee Higgins,WR,Hazime,tee higgins,25.85,-3.8500000000000014
2025,Abu Ali,2,4,39,Lamar Jackson,QB,Hazime,lamar jackson,25.99,13.010000000000002
2025,Abu Ali,2,5,42,Tetairoa McMillan,WR,Hazime,tetairoa mcmillan,57.12,-15.119999999999997
2025,Abu Ali,2,6,59,DJ Moore,WR,Hazime,dj moore,38.52,20.479999999999997
2025,Abu Ali,2,7,62,Travis Kelce,TE,Hazime,travis kelce,73.01,-11.010000000000005
2025,Abu Ali,2,8,79,Javonte Williams,RB,Hazime,javonte williams,107.06,-28.060000000000002
2025,Abu Ali,2,9,82,Michael Pittman,WR,Hazime,michael pittman,100.28,-18.28
2025,Abu Ali,2,10,99,Austin Ekeler,RB,Hazime,austin ekeler,138.67,-39.66999999999999
2025,Abu Ali,2,11,102,Rashid Shaheed,WR,Hazime,rashid shaheed,132.52,-30.52000000000001
2025,Abu Ali,2,12,119,Adam Thielen,WR,Hazime,adam thielen,154.65,-35.650000000000006
2025,Abu Ali,2,13,122,Raheem Mostert,RB,Hazime,raheem mostert,253.3,-131.3
2025,Abu Ali,2,14,139,Minnesota Vikings,DST,Hazime,minnesota vikings,175.33,-36.33000000000001
2025,Abu Ali,2,15,142,Jalen McMillan,WR,Hazime,jalen mcmillan,171.98,-29.97999999999999
2025,Ish,3,1,3,Bijan Robinson,RB,Ish,bijan robinson,2.91,0.08999999999999986
2025,Ish,3,2,18,Josh Jacobs,RB,Ish,josh jacobs,30.76,-12.760000000000002
2025,Ish,3,3,23,Kenneth Walker,RB,Ish,kenneth walker,44.87,-21.869999999999997
2025,Ish,3,4,38,Garrett Wilson,WR,Ish,garrett wilson,22.85,15.149999999999999
2025,Ish,3,5,43,Jalen Hurts,QB,Ish,jalen hurts,37.25,5.75
2025,Ish,3,6,58,George Pickens,WR,Ish,george pickens,60.04,-2.039999999999999
2025,Ish,3,7,63,RJ Harvey,RB,Ish,rj harvey,73.09,-10.090000000000003
2025,Ish,3,8,78,Stefon Diggs,WR,Ish,stefon diggs,75.61,2.3900000000000006
2025,Ish,3,9,83,Travis Etienne,RB,Ish,travis etienne,98.77,-15.769999999999996
2025,Ish,3,10,98,Jayden Higgins,WR,Ish,jayden higgins,156.86,-58.860000000000014
2025,Ish,3,11,103,Tre Harris,WR,Ish,tre harris,155.53,-52.53
2025,Ish,3,12,118,Colston Loveland,TE,Ish,colston loveland,138.07,-20.069999999999993
2025,Ish,3,13,123,Dont'e Thornton,WR,Ish,donte thornton,245.79,-122.78999999999999
2025,Ish,3,14,138,San Francisco 49ers,DST,Ish,san francisco 49ers,226.36,-88.36000000000001
2025,Ish,3,15,143,Woody Marks,RB,Ish,woody marks,239.1,-96.1
2025,Sleiman,4,1,4,Jahmyr Gibbs,RB,Daoud,jahmyr gibbs,5.9,-1.9000000000000004
2025,Sleiman,4,2,17,Drake London,WR,Daoud,drake london,12.96,4.039999999999999
2025,Sleiman,4,3,24,Chase Brown,RB,Daoud,chase brown,28.34,-4.34
2025,Sleiman,4,4,37,TreVeyon Henderson,RB,Daoud,treveyon henderson,69.16,-32.16
2025,Sleiman,4,5,44,Courtland Sutton,WR,Daoud,courtland sutton,47.18,-3.1799999999999997
2025,Sleiman,4,6,57,Emeka Egbuka,WR,Daoud,emeka egbuka,112.61,-55.61
2025,Sleiman,4,7,64,David Montgomery,RB,Daoud,david montgomery,64.93,-0.9300000000000068
2025,Sleiman,4,8,77,Chris Olave,WR,Daoud,chris olave,59.96,17.04
2025,Sleiman,4,9,84,Travis Hunter,WR,Daoud,travis hunter,30.0,54.0
2025,Sleiman,4,10,97,Khalil Shakir,WR,Daoud,khalil shakir,90.24,6.760000000000005
2025,Sleiman,4,11,104,Josh Downs,WR,Daoud,josh downs,94.07,9.930000000000007
2025,Sleiman,4,12,117,Evan Engram,TE,Daoud,evan engram,80.63,36.370000000000005
2025,Sleiman,4,13,124,Jauan Jennings,WR,Daoud,jauan jennings,91.81,32.19
2025,Sleiman,4,14,137,Los Angeles Rams,DST,Daoud,los angeles rams,204.79,-67.78999999999999
2025,Sleiman,4,15,144,Dak Prescott,QB,Daoud,dak prescott,91.15,52.849999999999994
2025,Doug,5,1,5,Justin Jefferson,WR,Kdouh,justin jefferson,3.76,1.2400000000000002
2025,Doug,5,2,16,De'Von Achane,RB,Kdouh,devon achane,16.45,-0.4499999999999993
2025,Doug,5,3,25,Ladd McConkey,WR,Kdouh,ladd mcconkey,18.91,6.09
2025,Doug,5,4,36,Terry McLaurin,WR,Kdouh,terry mclaurin,38.76,-2.759999999999998
2025,Doug,5,5,45,Tony Pollard,RB,Kdouh,tony pollard,74.21,-29.209999999999994
2025,Doug,5,6,56,George Kittle,TE,Kdouh,george kittle,33.75,22.25
2025,Doug,5,7,65,Calvin Ridley,WR,Kdouh,calvin ridley,61.97,3.030000000000001
2025,Doug,5,8,76,Tyrone Tracy,RB,Kdouh,tyrone tracy,92.21,-16.209999999999994
2025,Doug,5,9,85,Bo Nix,QB,Kdouh,bo nix,76.73,8.269999999999996
2025,Doug,5,10,96,Jordan Mason,RB,Kdouh,jordan mason,114.37,-18.370000000000005
2025,Doug,5,11,105,Trey Benson,RB,Kdouh,trey benson,153.86,-48.860000000000014
2025,Doug,5,12,116,Ollie Gordon,RB,Kdouh,ollie gordon,278.28,-162.27999999999997
2025,Doug,5,13,125,Christian Kirk,WR,Kdouh,christian kirk,129.85,-4.849999999999994
2025,Doug,5,14,136,New England Patriots,DST,Kdouh,new england patriots,262.0,-126.0
2025,Doug,5,15,145,Trevor Lawrence,QB,Kdouh,trevor lawrence,115.67,29.33
2025,Kass,6,1,6,Christian McCaffrey,RB,Kass,christian mccaffrey,13.45,-7.449999999999999
2025,Kass,6,2,15,A.J. Brown,WR,Kass,aj brown,17.0,-2.0
2025,Kass,6,3,26,Davante Adams,WR,Kass,davante adams,29.75,-3.75
2025,Kass,6,4,35,Marvin Harrison,WR,Kass,marvin harrison,37.25,-2.25
2025,Kass,6,5,46,Breece Hall,RB,Kass,breece hall,40.49,5.509999999999998
2025,Kass,6,6,55,Aaron Jones,RB,Kass,aaron jones,70.73,-15.730000000000004
2025,Kass,6,7,66,DeVonta Smith,WR,Kass,devonta smith,48.76,17.240000000000002
2025,Kass,6,8,75,T.J. Hockenson,TE,Kass,tj hockenson,68.06,6.939999999999998
2025,Kass,6,9,86,Deebo Samuel,WR,Kass,deebo samuel,99.43,-13.430000000000007
2025,Kass,6,10,95,Brian Robinson,RB,Kass,brian robinson,87.04,7.959999999999994
2025,Kass,6,11,106,Keon Coleman,WR,Kass,keon coleman,134.85,-28.849999999999994
2025,Kass,6,12,115,Nick Chubb,RB,Kass,nick chubb,180.14,-65.13999999999999
2025,Kass,6,13,126,Tyler Allgeier,RB,Kass,tyler allgeier,155.71,-29.710000000000008
2025,Kass,6,14,135,Jared Goff,QB,Kass,jared goff,101.72,33.28
2025,Kass,6,15,146,Philadelphia Eagles,DST,Kass,philadelphia eagles,163.39,-17.389999999999986
2025,Mexican (you),7,1,7,CeeDee Lamb,WR,Jamal (you),ceedee lamb,3.73,3.27
2025,Mexican (you),7,2,14,Brian Thomas,WR,Jamal (you),brian thomas,11.12,2.880000000000001
2025,Mexican (you),7,3,27,James Cook,RB,Jamal (you),james cook,48.31,-21.310000000000002
2025,Mexican (you),7,4,34,Omarion Hampton,RB,Jamal (you),omarion hampton,50.3,-16.299999999999997
2025,Mexican (you),7,5,47,Patrick Mahomes,QB,Jamal (you),patrick mahomes,65.64,-18.64
2025,Mexican (you),7,6,54,Rashee Rice,WR,Jamal (you),rashee rice,53.34,0.6599999999999966
2025,Mexican (you),7,7,67,Xavier Worthy,WR,Jamal (you),xavier worthy,58.7,8.299999999999997
2025,Mexican (you),7,8,74,Cooper Kupp,WR,Jamal (you),cooper kupp,103.78,-29.78
2025,Mexican (you),7,9,87,J.K. Dobbins,RB,Jamal (you),jk dobbins,118.72,-31.72
2025,Mexican (you),7,10,94,Joe Mixon,RB,Jamal (you),joe mixon,81.76,12.239999999999995
2025,Mexican (you),7,11,107,Keenan Allen,WR,Jamal (you),keenan allen,179.96,-72.96000000000001
2025,Mexican (you),7,12,114,Darnell Mooney,WR,Jamal (you),darnell mooney,118.01,-4.010000000000005
2025,Mexican (you),7,13,127,Brandon Aiyuk,WR,Jamal (you),brandon aiyuk,124.52,2.480000000000004
2025,Mexican (you),7,14,134,Detroit Lions,DST,Jamal (you),detroit lions,187.97,-53.97
2025,Mexican (you),7,15,147,Dalton Kincaid,TE,Jamal (you),dalton kincaid,118.45,28.549999999999997
2025,Moe,8,1,8,Malik Nabers,WR,Moe,malik nabers,7.76,0.2400000000000002
2025,Moe,8,2,13,Puka Nacua,WR,Moe,puka nacua,8.24,4.76
2025,Moe,8,3,28,Brock Bowers,TE,Moe,brock bowers,16.99,11.010000000000002
2025,Moe,8,4,33,Kyren Williams,RB,Moe,kyren williams,37.36,-4.359999999999999
2025,Moe,8,5,48,Alvin Kamara,RB,Moe,alvin kamara,41.16,6.840000000000003
2025,Moe,8,6,53,James Conner,RB,Moe,james conner,53.76,-0.759999999999998
2025,Moe,8,7,68,Jaylen Waddle,WR,Moe,jaylen waddle,53.99,14.009999999999998
2025,Moe,8,8,73,Baker Mayfield,QB,Moe,baker mayfield,74.3,-1.2999999999999972
2025,Moe,8,9,88,Rome Odunze,WR,Moe,rome odunze,78.61,9.39
2025,Moe,8,10,93,Jakobi Meyers,WR,Moe,jakobi meyers,78.16,14.840000000000003
2025,Moe,8,11,108,Jayden Reed,WR,Moe,jayden reed,101.69,6.310000000000002
2025,Moe,8,12,113,Rhamondre Stevenson,RB,Moe,rhamondre stevenson,116.78,-3.780000000000001
2025,Moe,8,13,128,Xavier Legette,WR,Moe,xavier legette,175.1,-47.099999999999994
2025,Moe,8,14,133,Denver Broncos,DST,Moe,denver broncos,152.38,-19.379999999999995
2025,Moe,8,15,148,Tank Bigsby,RB,Moe,tank bigsby,130.74,17.25999999999999
2025,Betto,9,1,9,Ashton Jeanty,RB,Betto,ashton jeanty,17.0,-8.0
2025,Betto,9,2,12,Amon-Ra St. Brown,WR,Betto,amonra st brown,8.91,3.09
2025,Betto,9,3,29,Jaxon Smith-Njigba,WR,Betto,jaxon smithnjigba,20.69,8.309999999999999
2025,Betto,9,4,32,Jayden Daniels,QB,Betto,jayden daniels,34.91,-2.9099999999999966
2025,Betto,9,5,49,Chuba Hubbard,RB,Betto,chuba hubbard,51.64,-2.6400000000000006
2025,Betto,9,6,52,Jameson Williams,WR,Betto,jameson williams,60.64,-8.64
2025,Betto,9,7,69,Matthew Golden,WR,Betto,matthew golden,125.65,-56.650000000000006
2025,Betto,9,8,72,Jacory Croskey-Merritt,RB,Betto,jacory croskeymerritt,252.3,-180.3
2025,Betto,9,9,89,Kaleb Johnson,RB,Betto,kaleb johnson,82.63,6.3700000000000045
2025,Betto,9,10,92,Mark Andrews,TE,Betto,mark andrews,91.55,0.45000000000000284
2025,Betto,9,11,109,Rachaad White,RB,Betto,rachaad white,125.18,-16.180000000000007
2025,Betto,9,12,112,Pittsburgh Steelers,DST,Betto,pittsburgh steelers,168.0,-56.0
2025,Betto,9,13,129,Marvin Mims,WR,Betto,marvin mims,157.57,-28.569999999999993
2025,Betto,9,14,132,Isaac TeSlaa,WR,Betto,isaac teslaa,284.43,-152.43
2025,Betto,9,15,149,Luther Burden,WR,Betto,luther burden,142.13,6.8700000000000045
2025,Billy,10,1,10,Nico Collins,WR,Billy,nico collins,10.1,-0.09999999999999964
2025,Billy,10,2,11,Derrick Henry,RB,Billy,derrick henry,23.31,-12.309999999999999
2025,Billy,10,3,30,Josh Allen,QB,Billy,josh allen,25.46,4.539999999999999
