team,win_total,implied_ppg_or_rank,wk1_opp,wk1_spread,wk1_total,source_url,date
IND,8.5,wk1_implied 23.0,vs BAL,+3.5,49.5,https://www.cbssports.com/nfl/news/afc-south-win-totals-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
JAX,9.5,wk1_implied 23.75,vs CLE,-7,40.5,https://www.cbssports.com/nfl/news/afc-south-win-totals-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
KC,10.5 (CBS/FOX Sept 2; one snippet 11.5 +100),wk1_implied 22.5,vs DEN (MNF 9/14),-2.5,42.5,https://www.cbssports.com/nfl/news/afc-west-win-totals-broncos/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
LAC,9.5 (Over -140; some books 10.5; 4for4 cheat sheet listed 7.5 = likely stale),wk1_implied 28.5 (largest wk1 spread),vs ARI,-11.5,45.5,https://dknetwork.draftkings.com/2026/08/27/los-angeles-chargers-over-under-win-total-odds-prediction-for-2026-27/ | https://www.covers.com/nfl/week-1-odds-2026,2026-08-27
LAR,11.5 (opened 10.5; Over -140 at 11.5),wk1_implied 25.5; NFL.com tier 1 (projected best offense),vs SF (Melbourne AUS),-2.5,48.5,https://www.foxsports.com/stories/nfl/2026-nfl-win-totals-over-unders-all-32-squads | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
LV,5.5,wk1_implied 22.25,vs MIA,-3,41.5,https://www.cbssports.com/nfl/news/afc-west-win-totals-broncos/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
MIA,4.5 (joint-lowest),wk1_implied 19.25,@LV,+3,41.5,https://www.cbssports.com/nfl/news/afc-east-win-totals-nfl-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
MIN,8.5,wk1_implied 21.5,vs GB,+1.5,44.5,https://www.cbssports.com/nfl/news/nfc-north-win-totals-2026-bears-lions-packers-vikings-picks/ | https://www.si.com/betting/nfl-week-1-odds-for-every-game-seahawks-rams-chiefs-favored-in-primetime,2026-09-02
NE,9.5,wk1_implied 20.5; NFL.com tier 2 (2nd in PPG 2025),@SEA (Wed 9/9 opener),+3.5,44.5,https://www.cbssports.com/nfl/news/afc-east-win-totals-nfl-2026/ | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
NO,7.5,wk1_implied ~20.75 if +7 (spread UNVERIFIED),vs DET (home/away UNVERIFIED),NO dog (ML +260),48.5,https://www.cbssports.com/nfl/news/nfc-south-win-totals-2026-panthers-falcons-saints-buccaneers/ | https://www.si.com/betting/nfl-week-1-odds-for-every-game-seahawks-rams-chiefs-favored-in-primetime,2026-09-02
NYG,7.5,wk1_implied 23.0,vs DAL,+2.5,48.5,https://www.cbssports.com/nfl/news/nfc-east-win-totals-predictions-back-the-cowboys-and-fade-the-commanders/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
NYJ,5.5 (heavily juiced to Under),wk1_implied 18.25,@TEN,+3,39.5,https://www.cbssports.com/nfl/news/afc-east-win-totals-nfl-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
PHI,10.5 (Over +120/Under -145; one snippet 11.5 +110),wk1_implied 26.0,vs WAS,-5.5,46.5,https://sports.betmgm.com/en/blog/nfl/philadelphia-eagles-win-total-over-under-wins-this-season-sgc/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
PIT,8.5,wk1_implied 22.75,vs ATL,-3,42.5,https://www.cbssports.com/nfl/news/afc-north-win-totals-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
SEA,10.5 (highest since 2017),wk1_implied 24.0; ProFootballMania rating 86.5,vs NE (Wed 9/9 opener),-3.5,44.5,https://www.cbssports.com/nfl/news/nfc-west-win-totals-2026-rams-seahawks-49ers-cardinals/ | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
SF,10.5,wk1_implied 23.0; NFL.com tier 2,vs LAR (Melbourne AUS),+2.5,48.5,https://www.cbssports.com/nfl/news/nfc-west-win-totals-2026-rams-seahawks-49ers-cardinals/ | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
TB,8.5,wk1_implied 23.5,@CIN,+3.5,50.5,https://www.cbssports.com/nfl/news/nfc-south-win-totals-2026-panthers-falcons-saints-buccaneers/ | https://www.covers.com/nfl/week-1-odds-2026,2026-09-02
TEN,6.5,wk1_implied 21.25,vs NYJ,-3,39.5,https://www.cbssports.com/nfl/news/afc-south-win-totals-2026/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
WAS,7.5 (-110/-110),wk1_implied 20.5,@PHI,+5.5,46.5,https://www.cbssports.com/nfl/news/nfc-east-win-totals-predictions-back-the-cowboys-and-fade-the-commanders/ | https://www.foxsports.com/stories/nfl/2026-nfl-odds-week-1-lines-spreads-all-16-games,2026-09-02
